"State","educationScore","educationAttainmentRank","educationQualityRank"
"Massachusetts","80.0600","1","1"
"Maryland","73.2100","3","4"
"Vermont","70.0700","6","5"
"Connecticut","68.2200","4","17"
"Colorado","67.9700","2","31"
"Virginia","66.9800","7","9"
"New Hampshire","66.3200","5","20"
"Minnesota","65.5700","8","11"
"Utah","64.5300","11","6"
"Washington","63.7700","9","16"
"New Jersey","62.9300","10","10"
"New York","56.7300","18","12"
"Oregon","55.7100","12","37"
"Hawaii","55.6500","13","28"
"Illinois","55.6200","17","21"
"Delaware","55.4000","23","7"
"Maine","54.9100","20","15"
"Montana","53.3700","14","41"
"Kansas","53.3100","15","38"
"Wisconsin","53.2300","24","14"
"Rhode Island","52.9500","25","13"
"Nebraska","52.0800","19","33"
"North Dakota","52.0200","22","23"
"Wyoming","51.2500","21","29"
"California","50.0300","37","2"
"Iowa","49.6900","27","18"
"Alaska","49.1900","16","49"
"Florida","48.8600","36","3"
"Pennsylvania","48.7400","28","22"
"Michigan","48.6600","26","35"
"North Carolina","46.0300","32","26"
"Ohio","45.0800","34","25"
"Georgia","44.9600","35","24"
"Missouri","44.5000","31","36"
"South Dakota","44.1200","29","43"
"Arizona","42.6100","33","40"
"Indiana","41.8200","40","8"
"Idaho","41.6600","30","47"
"Texas","37.1200","43","19"
"New Mexico","36.3200","38","45"
"Tennessee","35.8500","42","32"
"South Carolina","34.7700","39","46"
"Oklahoma","34.4300","41","39"
"Nevada","33.3100","44","34"
"Kentucky","32.1500","46","27"
"Alabama","30.2300","45","44"
"Arkansas","27.9000","47","30"
"Louisiana","22.5700","48","48"
"West Virginia","21.0200","50","42"
"Mississippi","19.3200","49","50"
