State,State Governments
Massachusetts,divided
Maine,D
Vermont,divided
Washington,D
New York,D
New Hampshire,R
California,D
Oregon,D
Maryland,divided
Hawaii,D
New Jersey,D
Illinois,D
Connecticut,D
Colorado,D
Rhode Island,D
Minnesota,divided
Wisconsin,divided
Virginia,D
Pennsylvania,divided
Delaware,D
Nevada,D
Michigan,divided
Ohio,R
Nebraska,R
Florida,R
North Carolina,divided
Iowa,R
Arizona,R
Texas,R
New Mexico,D
Missouri,R
Kentucky,divided
Georgia,R
Wyoming,R
Oklahoma,R
North Dakota,R
Montana,R
Kansas,divided
West Virginia,R
Tennessee,R
Indiana,R
Idaho,R
Alaska,divided
South Carolina,R
Utah,R
Louisiana,divided
Arkansas,R
Alabama,R
South Dakota,R
Mississippi,R
